config,C,acc_mean,acc_std,miss_mean,miss_std,fa_mean,fa_std
plain_ce_1to1_FLOOR,1:1,0.9563291139240505,0.03782357196959348,0.0,0.0,0.0,0.0
asym_miss2_false1,2:1,0.9534810126582279,0.043424104367156824,0.0,0.0,0.0,0.0
asym_miss4_false1,4:1,0.9558544303797468,0.04196917240621675,0.0,0.0,0.0,0.0
asym_miss6_false1,6:1,0.9658227848101266,0.027425272827249953,0.0,0.0,0.0,0.0
asym_miss8_false1,8:1,0.9632911392405064,0.02154020965799167,0.0,0.0,0.0,0.0
asym_miss10_false1,10:1,0.9583860759493671,0.03396651089472982,0.0,0.0,0.0,0.0
asym_miss12_false1,12:1,0.9534810126582279,0.03351107441781651,0.0,0.0,0.0,0.0
asym_miss16_false1,16:1,0.9447784810126582,0.04892734096555117,0.0,0.0,0.0,0.0
asym_miss20_false1,20:1,0.8395569620253165,0.11943241941802729,0.0,0.0,0.0,0.0
rule_oracle_CEIL,inf,1.0,0.0,0.0,0.0,0.0,0.0
