held_out,model,acc_mean,acc_std,miss_mean,miss_std,false_alarm_mean,false_alarm_std,escalation_mean,escalation_std
NoGas,A_decision_agent,0.0,0.0,0.0,0.0,0.0,0.0,,
NoGas,B_plain_dqn,0.0,0.0,0.0,0.0,0.0,0.0,,
NoGas,D_mlp,0.0,0.0,0.0,0.0,0.2,0.447213595499958,,
NoGas,E_gbm,0.0,0.0,0.0,0.0,0.0,0.0,,
Smoke,A_decision_agent,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Smoke,B_plain_dqn,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Smoke,D_mlp,0.0,0.0,0.1874762808349146,0.13838310127831913,0.0,0.0,0.8111321948134093,0.1366279545333303
Smoke,E_gbm,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mixture,A_decision_agent,0.0,0.0,0.004301075268817204,0.005906447832981026,0.0,0.0,0.2979127134724858,0.0857023323057332
Mixture,B_plain_dqn,0.0,0.0,0.0,0.0,0.0,0.0,0.24857685009487668,0.12259869226524811
Mixture,D_mlp,0.0,0.0,0.003542061986084756,0.004508166902265771,0.0,0.0,0.2894370651486401,0.14172172357913818
Mixture,E_gbm,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Perfume,A_decision_agent,0.0,0.0,0.0,0.0,0.0,0.0,,
Perfume,B_plain_dqn,0.0,0.0,0.0,0.0,0.0,0.0,,
Perfume,D_mlp,0.0,0.0,0.0,0.0,0.0,0.0,,
Perfume,E_gbm,0.0,0.0,0.0,0.0,0.0,0.0,,
