model,gas,action,share
A_cost_weighted,NoGas,0,0.9417721518987342
A_cost_weighted,NoGas,1,0.05822784810126582
A_cost_weighted,NoGas,2,0.0
A_cost_weighted,NoGas,3,0.0
A_cost_weighted,NoGas,4,0.0
A_cost_weighted,Smoke,0,0.0
A_cost_weighted,Smoke,1,0.0
A_cost_weighted,Smoke,2,0.0
A_cost_weighted,Smoke,3,1.0
A_cost_weighted,Smoke,4,0.0
A_cost_weighted,Mixture,0,0.0
A_cost_weighted,Mixture,1,0.0
A_cost_weighted,Mixture,2,0.0
A_cost_weighted,Mixture,3,0.0
A_cost_weighted,Mixture,4,1.0
A_cost_weighted,Perfume,0,0.07848101265822785
A_cost_weighted,Perfume,1,0.9101265822784809
A_cost_weighted,Perfume,2,0.0
A_cost_weighted,Perfume,3,0.0
A_cost_weighted,Perfume,4,0.01139240506329114
D_mlp,NoGas,0,0.938607594936709
D_mlp,NoGas,1,0.06139240506329115
D_mlp,NoGas,2,0.0
D_mlp,NoGas,3,0.0
D_mlp,NoGas,4,0.0
D_mlp,Smoke,0,0.0
D_mlp,Smoke,1,0.0
D_mlp,Smoke,2,0.0
D_mlp,Smoke,3,1.0
D_mlp,Smoke,4,0.0
D_mlp,Mixture,0,0.0
D_mlp,Mixture,1,0.0
D_mlp,Mixture,2,0.0
D_mlp,Mixture,3,0.0
D_mlp,Mixture,4,1.0
D_mlp,Perfume,0,0.08734177215189874
D_mlp,Perfume,1,0.9069620253164559
D_mlp,Perfume,2,0.0
D_mlp,Perfume,3,0.0
D_mlp,Perfume,4,0.00569620253164557
E_gbm,NoGas,0,0.8398734177215189
E_gbm,NoGas,1,0.160126582278481
E_gbm,NoGas,2,0.0
E_gbm,NoGas,3,0.0
E_gbm,NoGas,4,0.0
E_gbm,Smoke,0,0.018354430379746836
E_gbm,Smoke,1,0.0006329113924050633
E_gbm,Smoke,2,0.0
E_gbm,Smoke,3,0.980379746835443
E_gbm,Smoke,4,0.0006329113924050633
E_gbm,Mixture,0,0.0
E_gbm,Mixture,1,0.0
E_gbm,Mixture,2,0.0
E_gbm,Mixture,3,0.0
E_gbm,Mixture,4,1.0
E_gbm,Perfume,0,0.08164556962025317
E_gbm,Perfume,1,0.9183544303797468
E_gbm,Perfume,2,0.0
E_gbm,Perfume,3,0.0
E_gbm,Perfume,4,0.0
RF,NoGas,0,0.8645569620253164
RF,NoGas,1,0.13544303797468354
RF,NoGas,2,0.0
RF,NoGas,3,0.0
RF,NoGas,4,0.0
RF,Smoke,0,0.0
RF,Smoke,1,0.0
RF,Smoke,2,0.0
RF,Smoke,3,1.0
RF,Smoke,4,0.0
RF,Mixture,0,0.0
RF,Mixture,1,0.0
RF,Mixture,2,0.0
RF,Mixture,3,0.0
RF,Mixture,4,1.0
RF,Perfume,0,0.06392405063291139
RF,Perfume,1,0.9360759493670887
RF,Perfume,2,0.0
RF,Perfume,3,0.0
RF,Perfume,4,0.0
SVM,NoGas,0,0.9424050632911392
SVM,NoGas,1,0.057594936708860754
SVM,NoGas,2,0.0
SVM,NoGas,3,0.0
SVM,NoGas,4,0.0
SVM,Smoke,0,0.0
SVM,Smoke,1,0.0
SVM,Smoke,2,0.0
SVM,Smoke,3,1.0
SVM,Smoke,4,0.0
SVM,Mixture,0,0.0
SVM,Mixture,1,0.0
SVM,Mixture,2,0.0
SVM,Mixture,3,0.0
SVM,Mixture,4,1.0
SVM,Perfume,0,0.1550632911392405
SVM,Perfume,1,0.8449367088607594
SVM,Perfume,2,0.0
SVM,Perfume,3,0.0
SVM,Perfume,4,0.0
KNN,NoGas,0,0.9322784810126583
KNN,NoGas,1,0.06772151898734177
KNN,NoGas,2,0.0
KNN,NoGas,3,0.0
KNN,NoGas,4,0.0
KNN,Smoke,0,0.0
KNN,Smoke,1,0.0
KNN,Smoke,2,0.0
KNN,Smoke,3,1.0
KNN,Smoke,4,0.0
KNN,Mixture,0,0.0
KNN,Mixture,1,0.0
KNN,Mixture,2,0.0
KNN,Mixture,3,0.0
KNN,Mixture,4,1.0
KNN,Perfume,0,0.1379746835443038
KNN,Perfume,1,0.8620253164556961
KNN,Perfume,2,0.0
KNN,Perfume,3,0.0
KNN,Perfume,4,0.0
ThresholdRule,NoGas,0,0.8658227848101265
ThresholdRule,NoGas,1,0.1341772151898734
ThresholdRule,NoGas,2,0.0
ThresholdRule,NoGas,3,0.0
ThresholdRule,NoGas,4,0.0
ThresholdRule,Smoke,0,0.0
ThresholdRule,Smoke,1,0.0
ThresholdRule,Smoke,2,0.0
ThresholdRule,Smoke,3,0.999367088607595
ThresholdRule,Smoke,4,0.0006329113924050633
ThresholdRule,Mixture,0,0.0
ThresholdRule,Mixture,1,0.0
ThresholdRule,Mixture,2,0.0
ThresholdRule,Mixture,3,0.0
ThresholdRule,Mixture,4,1.0
ThresholdRule,Perfume,0,0.15063291139240506
ThresholdRule,Perfume,1,0.8493670886075948
ThresholdRule,Perfume,2,0.0
ThresholdRule,Perfume,3,0.0
ThresholdRule,Perfume,4,0.0
