model,level,decision_acc_mean,decision_acc_std,miss_rate_mean,escalation_mean,fa_per_clean_mean,frac_windows_action_changed,frac_changed_std
A_cost_weighted,0.0,0.9629746835443038,0.026964968713765178,0.0,1.0,0.0,0.06645569620253164,0.038343736759660234
A_cost_weighted,0.25,0.9588607594936709,0.028093798899627685,0.0,1.0,0.0,0.06645569620253164,0.038343736759660234
A_cost_weighted,0.5,0.9547468354430378,0.027629907944304356,0.0,1.0,0.0,0.06645569620253164,0.038343736759660234
A_cost_weighted,0.75,0.9468354430379747,0.0256565858010912,0.0,1.0,0.010126582278481013,0.06645569620253164,0.038343736759660234
A_cost_weighted,1.0,0.9180379746835443,0.0504490083899023,0.0,1.0,0.09936708860759494,0.06645569620253164,0.038343736759660234
D_mlp,0.0,0.961392405063291,0.013888944524448386,0.0,1.0,0.0,0.029905063291139244,0.019868466185539713
D_mlp,0.25,0.9647151898734178,0.014225114748255111,0.0,1.0,0.0,0.029905063291139244,0.019868466185539713
D_mlp,0.5,0.9680379746835444,0.01781029976614583,0.0,1.0,0.0,0.029905063291139244,0.019868466185539713
D_mlp,0.75,0.9675632911392406,0.0152486829647123,0.0,1.0,0.0,0.029905063291139244,0.019868466185539713
D_mlp,1.0,0.9675632911392406,0.016995689128908868,0.0,1.0,0.0,0.029905063291139244,0.019868466185539713
E_gbm,0.0,0.6229430379746835,0.057876580461659485,0.42025316455696204,0.49746835443037973,0.0,0.642246835443038,0.07650034192952396
E_gbm,0.25,0.6757911392405063,0.07443523002581072,0.00949367088607595,0.9901898734177216,0.7082278481012658,0.642246835443038,0.07650034192952396
E_gbm,0.5,0.6745253164556961,0.075194861158781,0.009177215189873418,0.9905063291139241,0.7082278481012658,0.642246835443038,0.07650034192952396
E_gbm,0.75,0.6745253164556961,0.075194861158781,0.009177215189873418,0.9905063291139241,0.7082278481012658,0.642246835443038,0.07650034192952396
E_gbm,1.0,0.6745253164556961,0.075194861158781,0.009177215189873418,0.9905063291139241,0.7082278481012658,0.642246835443038,0.07650034192952396
RF,0.0,0.9647151898734178,0.018525163470845128,0.0,1.0,0.0,0.23591772151898732,0.0880716016324235
RF,0.25,0.7900316455696202,0.0692000408217771,0.0,1.0,0.0012658227848101266,0.23591772151898732,0.0880716016324235
RF,0.5,0.7895569620253164,0.06920546749566149,0.0,1.0,0.0012658227848101266,0.23591772151898732,0.0880716016324235
RF,0.75,0.792879746835443,0.07644304871709344,0.0,1.0,0.0006329113924050633,0.23591772151898732,0.0880716016324235
RF,1.0,0.792879746835443,0.07644304871709344,0.0,1.0,0.0006329113924050633,0.23591772151898732,0.0880716016324235
SVM,0.0,0.9468354430379747,0.018293972339831457,0.0,1.0,0.0,0.007911392405063292,0.010330351943987813
SVM,0.25,0.9466772151898735,0.01831278011111843,0.0,1.0,0.0,0.007911392405063292,0.010330351943987813
SVM,0.5,0.9457278481012658,0.0190662915587242,0.0,1.0,0.0,0.007911392405063292,0.010330351943987813
SVM,0.75,0.9450949367088608,0.018810156928779374,0.0,1.0,0.0,0.007911392405063292,0.010330351943987813
SVM,1.0,0.9455696202531646,0.021238810356847684,0.0,1.0,0.0,0.007911392405063292,0.010330351943987813
KNN,0.0,0.9485759493670887,0.03063047576361702,0.0,1.0,0.0,0.00031645569620253165,0.0007076164485758828
KNN,0.25,0.9485759493670887,0.03063047576361702,0.0,1.0,0.0,0.00031645569620253165,0.0007076164485758828
KNN,0.5,0.9485759493670887,0.03063047576361702,0.0,1.0,0.0,0.00031645569620253165,0.0007076164485758828
KNN,0.75,0.9484177215189874,0.030525059576313362,0.0,1.0,0.0,0.00031645569620253165,0.0007076164485758828
KNN,1.0,0.948259493670886,0.030423392961479095,0.0,1.0,0.0,0.00031645569620253165,0.0007076164485758828
ThresholdRule,0.0,0.9286392405063291,0.030215926648067742,0.0,1.0,0.0,0.0,0.0
ThresholdRule,0.25,0.9286392405063291,0.030215926648067742,0.0,1.0,0.0,0.0,0.0
ThresholdRule,0.5,0.9286392405063291,0.030215926648067742,0.0,1.0,0.0,0.0,0.0
ThresholdRule,0.75,0.9286392405063291,0.030215926648067742,0.0,1.0,0.0,0.0,0.0
ThresholdRule,1.0,0.9286392405063291,0.030215926648067742,0.0,1.0,0.0,0.0,0.0
