seed,estimator,n_bins,ece
42,raw_softmax,5,0.061210597193316556
42,raw_softmax,10,0.061262374956019314
42,raw_softmax,15,0.061323349941757664
42,raw_softmax,20,0.0613549395546883
42,raw_softmax,30,0.06138685105156295
42,mc_dropout_20,5,0.03659695738195619
42,mc_dropout_20,10,0.036677676406276366
42,mc_dropout_20,15,0.036755508755015424
42,mc_dropout_20,20,0.03679607829809943
42,mc_dropout_20,30,0.036838868491445916
42,temp_scaling,5,0.048275331318189826
42,temp_scaling,10,0.048440078084793274
42,temp_scaling,15,0.04888335273518594
42,temp_scaling,20,0.049111337389183975
42,temp_scaling,30,0.04934107387273372
42,deep_ensemble_5,5,0.04410515221048004
42,deep_ensemble_5,10,0.044160268210534814
42,deep_ensemble_5,15,0.04423541514367997
42,deep_ensemble_5,20,0.04427473346077945
42,deep_ensemble_5,30,0.04447952389151235
1337,raw_softmax,5,0.04169689854489099
1337,raw_softmax,10,0.04169197889822949
1337,raw_softmax,15,0.04193069946162308
1337,raw_softmax,20,0.04203913511731957
1337,raw_softmax,30,0.04203871769618384
1337,mc_dropout_20,5,0.029331948136604283
1337,mc_dropout_20,10,0.029325003818243375
1337,mc_dropout_20,15,0.029625798752413515
1337,mc_dropout_20,20,0.029837166725457474
1337,mc_dropout_20,30,0.030034660868629624
1337,temp_scaling,5,0.03021217099850693
1337,temp_scaling,10,0.03107178126332125
1337,temp_scaling,15,0.032986582928820514
1337,temp_scaling,20,0.03427083960062341
1337,temp_scaling,30,0.033659623204907285
1337,deep_ensemble_5,5,0.04016201891287974
1337,deep_ensemble_5,10,0.04015106778544717
1337,deep_ensemble_5,15,0.04015106778544714
1337,deep_ensemble_5,20,0.0405417894355104
1337,deep_ensemble_5,30,0.04040965555778033
7,raw_softmax,5,0.04304208905919446
7,raw_softmax,10,0.04310736020060281
7,raw_softmax,15,0.04308260229852377
7,raw_softmax,20,0.043701690657040757
7,raw_softmax,30,0.044612481930776486
7,mc_dropout_20,5,0.024631128988311247
7,mc_dropout_20,10,0.02463046173694766
7,mc_dropout_20,15,0.026441498977851276
7,mc_dropout_20,20,0.027224233963444273
7,mc_dropout_20,30,0.027400741612986668
7,temp_scaling,5,0.03751528607327729
7,temp_scaling,10,0.03782548364016074
7,temp_scaling,15,0.03767731375520742
7,temp_scaling,20,0.037913855070932
7,temp_scaling,30,0.04088840345981756
7,deep_ensemble_5,5,0.03926658724682239
7,deep_ensemble_5,10,0.039312195457235175
7,deep_ensemble_5,15,0.03961803547189207
7,deep_ensemble_5,20,0.039549225870567035
7,deep_ensemble_5,30,0.03973229484090322
2024,raw_softmax,5,0.038421327130326734
2024,raw_softmax,10,0.04148915084668351
2024,raw_softmax,15,0.04259200578060329
2024,raw_softmax,20,0.0430449755225755
2024,raw_softmax,30,0.04354460344095774
2024,mc_dropout_20,5,0.029829860818159765
2024,mc_dropout_20,10,0.033567120710128455
2024,mc_dropout_20,15,0.03521770932063271
2024,mc_dropout_20,20,0.0353390822965133
2024,mc_dropout_20,30,0.03552203498120549
2024,temp_scaling,5,0.028051944473121756
2024,temp_scaling,10,0.041194352922560275
2024,temp_scaling,15,0.04040261640956131
2024,temp_scaling,20,0.04209030032912387
2024,temp_scaling,30,0.042193368171589286
2024,deep_ensemble_5,5,0.040738279636524904
2024,deep_ensemble_5,10,0.0407324194247964
2024,deep_ensemble_5,15,0.04153926599817941
2024,deep_ensemble_5,20,0.0413337643670885
2024,deep_ensemble_5,30,0.04194418694588203
99,raw_softmax,5,0.02590138182232652
99,raw_softmax,10,0.026205596950235235
99,raw_softmax,15,0.026338649512846254
99,raw_softmax,20,0.0264115875846223
99,raw_softmax,30,0.026338649512846264
99,mc_dropout_20,5,0.008706274171230146
99,mc_dropout_20,10,0.009275971970792066
99,mc_dropout_20,15,0.009571508398350293
99,mc_dropout_20,20,0.011378568019482145
99,mc_dropout_20,30,0.011950532493146161
99,temp_scaling,5,0.019222977771600612
99,temp_scaling,10,0.019154398855340638
99,temp_scaling,15,0.019086125601507426
99,temp_scaling,20,0.022613310479099237
99,temp_scaling,30,0.020893515405964246
99,deep_ensemble_5,5,0.015775499700368224
99,deep_ensemble_5,10,0.015768729197450843
99,deep_ensemble_5,15,0.015761990571701082
99,deep_ensemble_5,20,0.01575529174525526
99,deep_ensemble_5,30,0.01610287849473047
