model,perturbation,level,n_clean_windows,indications_mean,indications_std,episodes_mean,episodes_std,indications_per_1k,episodes_per_1k,indications_per_hour,episodes_per_hour,compression,on_delay,off_delay
A_cost_weighted,clean,0.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,15
A_cost_weighted,dropout,1.0,316.0,40.6,81.2,1.0,2.0,128.48101265822785,3.1645569620253164,231.26582278481013,5.69620253164557,40.6,3,15
A_cost_weighted,dropout,4.0,316.0,65.8,94.44024565829972,1.8,1.6,208.22784810126583,5.69620253164557,374.8101265822785,10.253164556962025,36.55555555555555,3,15
A_cost_weighted,dropout,7.0,316.0,316.0,0.0,1.0,0.0,1000.0,3.1645569620253164,1800.0,5.69620253164557,316.0,3,15
A_cost_weighted,drift,0.3,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,15
A_cost_weighted,drift,0.5,316.0,0.2,0.4000000000000001,0.0,0.0,0.6329113924050633,0.0,1.139240506329114,0.0,,3,15
A_cost_weighted,noise,0.3,316.0,11.4,7.49933330370107,0.0,0.0,36.075949367088604,0.0,64.9367088607595,0.0,,3,15
A_cost_weighted,noise,0.5,316.0,43.4,13.335666462535722,0.8,0.7483314773547883,137.34177215189874,2.5316455696202533,247.21518987341773,4.556962025316456,54.24999999999999,3,15
B_unweighted,clean,0.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,15
B_unweighted,dropout,1.0,316.0,45.0,90.0,0.6,1.2,142.40506329113924,1.8987341772151898,256.32911392405066,3.4177215189873418,75.0,3,15
B_unweighted,dropout,4.0,316.0,66.2,108.45349233657717,1.2,1.4696938456699067,209.49367088607596,3.7974683544303796,377.0886075949367,6.8354430379746836,55.16666666666667,3,15
B_unweighted,dropout,7.0,316.0,316.0,0.0,1.0,0.0,1000.0,3.1645569620253164,1800.0,5.69620253164557,316.0,3,15
B_unweighted,drift,0.3,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,15
B_unweighted,drift,0.5,316.0,0.6,1.2000000000000002,0.0,0.0,1.8987341772151898,0.0,3.4177215189873418,0.0,,3,15
B_unweighted,noise,0.3,316.0,9.0,6.099180272790763,0.0,0.0,28.481012658227847,0.0,51.265822784810126,0.0,,3,15
B_unweighted,noise,0.5,316.0,38.0,7.64198926981712,1.0,0.6324555320336759,120.25316455696202,3.1645569620253164,216.45569620253164,5.69620253164557,38.0,3,15
D_mlp,clean,0.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,15
D_mlp,dropout,1.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,15
D_mlp,dropout,4.0,316.0,2.2,4.4,0.2,0.4,6.962025316455696,0.6329113924050633,12.531645569620254,1.139240506329114,11.0,3,15
D_mlp,dropout,7.0,316.0,63.2,126.4,0.2,0.4000000000000001,200.0,0.6329113924050633,360.0,1.139240506329114,316.0,3,15
D_mlp,drift,0.3,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,15
D_mlp,drift,0.5,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,15
D_mlp,noise,0.3,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,15
D_mlp,noise,0.5,316.0,1.8,1.469693845669907,0.0,0.0,5.69620253164557,0.0,10.253164556962025,0.0,,3,15
E_gbm,clean,0.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,15
E_gbm,dropout,1.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,15
E_gbm,dropout,4.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,15
E_gbm,dropout,7.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,15
E_gbm,drift,0.3,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,15
E_gbm,drift,0.5,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,15
E_gbm,noise,0.3,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,15
E_gbm,noise,0.5,316.0,5.4,3.6110940170535573,0.0,0.0,17.088607594936708,0.0,30.759493670886076,0.0,,3,15
RF,clean,0.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,15
RF,dropout,1.0,316.0,2.2,4.4,0.4,0.8,6.962025316455696,1.2658227848101267,12.531645569620254,2.278481012658228,5.5,3,15
RF,dropout,4.0,316.0,20.0,38.03156583681508,1.2,1.9390719429665317,63.29113924050633,3.7974683544303796,113.92405063291139,6.8354430379746836,16.666666666666668,3,15
RF,dropout,7.0,316.0,164.0,133.1209975924159,1.4,1.019803902718557,518.9873417721519,4.430379746835443,934.1772151898734,7.974683544303797,117.14285714285715,3,15
RF,drift,0.3,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,15
RF,drift,0.5,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,15
RF,noise,0.3,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,15
RF,noise,0.5,316.0,2.2,0.9797958971132712,0.0,0.0,6.962025316455696,0.0,12.531645569620254,0.0,,3,15
ThresholdRule,clean,0.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,15
ThresholdRule,dropout,1.0,316.0,63.2,126.4,0.2,0.4,200.0,0.6329113924050633,360.0,1.139240506329114,316.0,3,15
ThresholdRule,dropout,4.0,316.0,126.4,154.80775174389686,0.4,0.48989794855663565,400.0,1.2658227848101267,720.0,2.278481012658228,316.0,3,15
ThresholdRule,dropout,7.0,316.0,316.0,0.0,1.0,0.0,1000.0,3.1645569620253164,1800.0,5.69620253164557,316.0,3,15
ThresholdRule,drift,0.3,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,15
ThresholdRule,drift,0.5,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,15
ThresholdRule,noise,0.3,316.0,5.4,2.4166091947189146,0.0,0.0,17.088607594936708,0.0,30.759493670886076,0.0,,3,15
ThresholdRule,noise,0.5,316.0,32.6,6.6211781428987395,0.6,1.2,103.16455696202532,1.8987341772151898,185.69620253164558,3.4177215189873418,54.333333333333336,3,15
