held_out,model,seed,n_danger,miss_k,esc_k,under_esc_k,miss_rate,escalation,under_escalation
Smoke,A_cost_weighted,42,1581,0,1581,0,0.0,1.0,0.0
Smoke,A_cost_weighted,1337,1581,0,1581,0,0.0,1.0,0.0
Smoke,A_cost_weighted,7,1581,0,1581,0,0.0,1.0,0.0
Smoke,A_cost_weighted,2024,1581,0,1581,0,0.0,1.0,0.0
Smoke,A_cost_weighted,99,1581,0,1581,0,0.0,1.0,0.0
Smoke,Ordinal,42,1581,0,1543,38,0.0,0.9759645793801391,0.02403542061986085
Smoke,Ordinal,1337,1581,0,1553,28,0.0,0.9822896900695762,0.017710309930423784
Smoke,Ordinal,7,1581,0,1560,21,0.0,0.9867172675521821,0.013282732447817837
Smoke,Ordinal,2024,1581,0,1563,18,0.0,0.9886148007590133,0.011385199240986717
Smoke,Ordinal,99,1581,0,1555,26,0.0,0.9835547122074636,0.01644528779253637
Smoke,B_unweighted,42,1581,0,1581,0,0.0,1.0,0.0
Smoke,B_unweighted,1337,1581,0,1581,0,0.0,1.0,0.0
Smoke,B_unweighted,7,1581,0,1581,0,0.0,1.0,0.0
Smoke,B_unweighted,2024,1581,0,1581,0,0.0,1.0,0.0
Smoke,B_unweighted,99,1581,0,1581,0,0.0,1.0,0.0
Smoke,D_mlp,42,1581,30,1526,25,0.018975332068311195,0.9652118912080961,0.015812776723592662
Smoke,D_mlp,1337,1581,23,1558,0,0.01454775458570525,0.9854522454142948,0.0
Smoke,D_mlp,7,1581,216,1357,8,0.1366223908918406,0.8583175205566097,0.005060088551549652
Smoke,D_mlp,2024,1581,234,1347,0,0.14800759013282733,0.8519924098671727,0.0
Smoke,D_mlp,99,1581,4,1576,1,0.002530044275774826,0.9968374446552815,0.0006325110689437065
Smoke,E_gbm,42,1581,0,1581,0,0.0,1.0,0.0
Smoke,E_gbm,1337,1581,0,1581,0,0.0,1.0,0.0
Smoke,E_gbm,7,1581,0,1581,0,0.0,1.0,0.0
Smoke,E_gbm,2024,1581,0,1581,0,0.0,1.0,0.0
Smoke,E_gbm,99,1581,0,1581,0,0.0,1.0,0.0
Smoke,SVM,42,1581,2,1434,145,0.001265022137887413,0.9070208728652751,0.09171410499683745
Smoke,SVM,1337,1581,4,1434,143,0.002530044275774826,0.9070208728652751,0.09044908285895004
