seed,gas,action,count,n
42,NoGas,0,0,316
42,NoGas,1,316,316
42,NoGas,2,0,316
42,NoGas,3,0,316
42,NoGas,4,0,316
42,Smoke,0,0,316
42,Smoke,1,0,316
42,Smoke,2,0,316
42,Smoke,3,316,316
42,Smoke,4,0,316
42,Mixture,0,0,316
42,Mixture,1,0,316
42,Mixture,2,0,316
42,Mixture,3,0,316
42,Mixture,4,316,316
42,Perfume,0,0,316
42,Perfume,1,316,316
42,Perfume,2,0,316
42,Perfume,3,0,316
42,Perfume,4,0,316
1337,NoGas,0,0,316
1337,NoGas,1,0,316
1337,NoGas,2,316,316
1337,NoGas,3,0,316
1337,NoGas,4,0,316
1337,Smoke,0,0,316
1337,Smoke,1,0,316
1337,Smoke,2,0,316
1337,Smoke,3,316,316
1337,Smoke,4,0,316
1337,Mixture,0,0,316
1337,Mixture,1,0,316
1337,Mixture,2,0,316
1337,Mixture,3,0,316
1337,Mixture,4,316,316
1337,Perfume,0,0,316
1337,Perfume,1,0,316
1337,Perfume,2,316,316
1337,Perfume,3,0,316
1337,Perfume,4,0,316
7,NoGas,0,0,316
7,NoGas,1,316,316
7,NoGas,2,0,316
7,NoGas,3,0,316
7,NoGas,4,0,316
7,Smoke,0,0,316
7,Smoke,1,0,316
7,Smoke,2,0,316
7,Smoke,3,316,316
7,Smoke,4,0,316
7,Mixture,0,0,316
7,Mixture,1,0,316
7,Mixture,2,0,316
7,Mixture,3,0,316
7,Mixture,4,316,316
7,Perfume,0,0,316
7,Perfume,1,297,316
7,Perfume,2,0,316
7,Perfume,3,0,316
7,Perfume,4,19,316
2024,NoGas,0,0,316
2024,NoGas,1,316,316
2024,NoGas,2,0,316
2024,NoGas,3,0,316
2024,NoGas,4,0,316
2024,Smoke,0,0,316
2024,Smoke,1,0,316
2024,Smoke,2,0,316
2024,Smoke,3,316,316
2024,Smoke,4,0,316
2024,Mixture,0,0,316
2024,Mixture,1,0,316
2024,Mixture,2,0,316
2024,Mixture,3,0,316
2024,Mixture,4,316,316
2024,Perfume,0,0,316
2024,Perfume,1,316,316
2024,Perfume,2,0,316
2024,Perfume,3,0,316
2024,Perfume,4,0,316
99,NoGas,0,0,316
99,NoGas,1,0,316
99,NoGas,2,316,316
99,NoGas,3,0,316
99,NoGas,4,0,316
99,Smoke,0,0,316
99,Smoke,1,0,316
99,Smoke,2,0,316
99,Smoke,3,316,316
99,Smoke,4,0,316
99,Mixture,0,0,316
99,Mixture,1,0,316
99,Mixture,2,0,316
99,Mixture,3,0,316
99,Mixture,4,316,316
99,Perfume,0,0,316
99,Perfume,1,0,316
99,Perfume,2,316,316
99,Perfume,3,0,316
99,Perfume,4,0,316
