model,arm,n_train_budget,decision_acc_mean,decision_acc_std
A_cost_weighted,a_overlap_random,256,0.575494071146245,0.0920519331999561
A_cost_weighted,b_disjoint_random,256,0.540625,0.127934309315367
A_cost_weighted,c_overlap_blocked,256,0.534493670886076,0.04763840847325911
A_cost_weighted,d_disjoint_blocked,256,0.546875,0.0625
A_cost_weighted,effect_overlap_pp,256,3.4869071146244934,
A_cost_weighted,effect_position_pp,256,-0.6249999999999978,
B_unweighted,a_overlap_random,256,0.8709881422924901,0.01264229109989171
B_unweighted,b_disjoint_random,256,0.8125,0.08615030470056388
B_unweighted,c_overlap_blocked,256,0.8955696202531647,0.015503099637868232
B_unweighted,d_disjoint_blocked,256,0.88125,0.01875
B_unweighted,effect_overlap_pp,256,5.848814229249011,
B_unweighted,effect_position_pp,256,-6.874999999999998,
D_mlp,a_overlap_random,256,0.8801581027667984,0.042674862643467634
D_mlp,b_disjoint_random,256,0.9,0.04592793267718459
D_mlp,c_overlap_blocked,256,0.9063291139240507,0.04004946568895566
D_mlp,d_disjoint_blocked,256,0.871875,0.03186887195995491
D_mlp,effect_overlap_pp,256,-1.9841897233201622,
D_mlp,effect_position_pp,256,2.8125000000000067,
E_gbm,a_overlap_random,256,0.9392885375494071,0.00658360879483226
E_gbm,b_disjoint_random,256,0.925,0.03186887195995491
E_gbm,c_overlap_blocked,256,0.9197784810126581,0.024571720085828055
E_gbm,d_disjoint_blocked,256,0.928125,0.03644344934278313
E_gbm,effect_overlap_pp,256,1.4288537549407065,
E_gbm,effect_position_pp,256,-0.31249999999999334,
RF,a_overlap_random,256,0.9617391304347824,0.014322051348797786
RF,b_disjoint_random,256,0.95,0.01530931089239486
RF,c_overlap_blocked,256,0.960126582278481,0.007598232407305675
RF,d_disjoint_blocked,256,0.95625,0.011692679333668566
RF,effect_overlap_pp,256,1.1739130434782474,
RF,effect_position_pp,256,-0.6250000000000089,
ThresholdRule,a_overlap_random,256,0.906403162055336,0.017105813394288023
ThresholdRule,b_disjoint_random,256,0.9125,0.03061862178478973
ThresholdRule,c_overlap_blocked,256,0.9223101265822786,0.029960684327159603
ThresholdRule,d_disjoint_blocked,256,0.934375,0.03878023014372143
ThresholdRule,effect_overlap_pp,256,-0.609683794466398,
ThresholdRule,effect_position_pp,256,-2.187499999999998,
