model,perturbation,level,on_delay,off_delay,n_clean_windows,indications_mean,episodes_mean,episodes_std,indications_per_hour,episodes_per_hour,compression
A_cost_weighted,clean,0.0,1,5,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,clean,0.0,1,10,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,clean,0.0,1,15,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,clean,0.0,1,30,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,clean,0.0,1,60,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,clean,0.0,2,5,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,clean,0.0,2,10,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,clean,0.0,2,15,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,clean,0.0,2,30,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,clean,0.0,2,60,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,clean,0.0,3,5,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,clean,0.0,3,10,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,clean,0.0,3,15,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,clean,0.0,3,30,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,clean,0.0,3,60,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,clean,0.0,5,5,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,clean,0.0,5,10,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,clean,0.0,5,15,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,clean,0.0,5,30,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,clean,0.0,5,60,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,clean,0.0,10,5,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,clean,0.0,10,10,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,clean,0.0,10,15,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,clean,0.0,10,30,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,clean,0.0,10,60,316.0,0.0,0.0,0.0,0.0,0.0,
A_cost_weighted,dropout,1.0,1,5,316.0,40.6,1.8,3.6,231.26582278481013,10.253164556962025,22.555555555555557
A_cost_weighted,dropout,1.0,1,10,316.0,40.6,1.0,2.0,231.26582278481013,5.69620253164557,40.6
A_cost_weighted,dropout,1.0,1,15,316.0,40.6,1.0,2.0,231.26582278481013,5.69620253164557,40.6
A_cost_weighted,dropout,1.0,1,30,316.0,40.6,0.4,0.8,231.26582278481013,2.278481012658228,101.5
A_cost_weighted,dropout,1.0,1,60,316.0,40.6,0.2,0.4,231.26582278481013,1.139240506329114,203.0
A_cost_weighted,dropout,1.0,2,5,316.0,40.6,1.4,2.8,231.26582278481013,7.974683544303797,29.000000000000004
A_cost_weighted,dropout,1.0,2,10,316.0,40.6,1.0,2.0,231.26582278481013,5.69620253164557,40.6
A_cost_weighted,dropout,1.0,2,15,316.0,40.6,1.0,2.0,231.26582278481013,5.69620253164557,40.6
A_cost_weighted,dropout,1.0,2,30,316.0,40.6,0.4,0.8,231.26582278481013,2.278481012658228,101.5
A_cost_weighted,dropout,1.0,2,60,316.0,40.6,0.2,0.4,231.26582278481013,1.139240506329114,203.0
A_cost_weighted,dropout,1.0,3,5,316.0,40.6,1.4,2.8,231.26582278481013,7.974683544303797,29.000000000000004
A_cost_weighted,dropout,1.0,3,10,316.0,40.6,1.0,2.0,231.26582278481013,5.69620253164557,40.6
A_cost_weighted,dropout,1.0,3,15,316.0,40.6,1.0,2.0,231.26582278481013,5.69620253164557,40.6
A_cost_weighted,dropout,1.0,3,30,316.0,40.6,0.4,0.8,231.26582278481013,2.278481012658228,101.5
A_cost_weighted,dropout,1.0,3,60,316.0,40.6,0.2,0.4,231.26582278481013,1.139240506329114,203.0
A_cost_weighted,dropout,1.0,5,5,316.0,40.6,1.2,2.4,231.26582278481013,6.8354430379746836,33.833333333333336
A_cost_weighted,dropout,1.0,5,10,316.0,40.6,1.0,2.0,231.26582278481013,5.69620253164557,40.6
A_cost_weighted,dropout,1.0,5,15,316.0,40.6,1.0,2.0,231.26582278481013,5.69620253164557,40.6
A_cost_weighted,dropout,1.0,5,30,316.0,40.6,0.4,0.8,231.26582278481013,2.278481012658228,101.5
A_cost_weighted,dropout,1.0,5,60,316.0,40.6,0.2,0.4,231.26582278481013,1.139240506329114,203.0
A_cost_weighted,dropout,1.0,10,5,316.0,40.6,1.0,2.0,231.26582278481013,5.69620253164557,40.6
A_cost_weighted,dropout,1.0,10,10,316.0,40.6,1.0,2.0,231.26582278481013,5.69620253164557,40.6
A_cost_weighted,dropout,1.0,10,15,316.0,40.6,1.0,2.0,231.26582278481013,5.69620253164557,40.6
A_cost_weighted,dropout,1.0,10,30,316.0,40.6,0.4,0.8,231.26582278481013,2.278481012658228,101.5
A_cost_weighted,dropout,1.0,10,60,316.0,40.6,0.2,0.4,231.26582278481013,1.139240506329114,203.0
