held_out,model,reject_quantile,reject_policy,reject_rate_heldout,reject_rate_clean,miss_rate_mean,miss_rate_std,escalation_mean,escalation_std,under_escalation_mean
Smoke,A_cost_weighted,0,monitor,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Smoke,A_cost_weighted,0,alarm,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Smoke,A_cost_weighted,5,monitor,0.0,0.07911392405063292,0.0,0.0,1.0,0.0,0.0
Smoke,A_cost_weighted,5,alarm,0.0,0.07911392405063292,0.0,0.0,1.0,0.0,0.0
Smoke,A_cost_weighted,10,monitor,0.0001265022137887413,0.1607594936708861,0.0001265022137887413,0.0002530044275774826,0.9998734977862114,0.00025300442757747454,0.0
Smoke,A_cost_weighted,10,alarm,0.0001265022137887413,0.1607594936708861,0.0,0.0,1.0,0.0,0.0
Smoke,A_cost_weighted,20,monitor,0.0020240354206198605,0.34873417721518984,0.0020240354206198605,0.0012900745132429562,0.9979759645793802,0.001290074513242963,0.0
Smoke,A_cost_weighted,20,alarm,0.0020240354206198605,0.34873417721518984,0.0,0.0,1.0,0.0,0.0
Smoke,A_cost_weighted,30,monitor,0.005313092979127135,0.5594936708860759,0.005313092979127135,0.0038286517268618734,0.9946869070208729,0.0038286517268618626,0.0
Smoke,A_cost_weighted,30,alarm,0.005313092979127135,0.5594936708860759,0.0,0.0,1.0,0.0,0.0
Smoke,B_unweighted,0,monitor,0.0,0.0,0.0001265022137887413,0.0002530044275774826,0.9998734977862114,0.00025300442757747454,0.0
Smoke,B_unweighted,0,alarm,0.0,0.0,0.0001265022137887413,0.0002530044275774826,0.9998734977862114,0.00025300442757747454,0.0
Smoke,B_unweighted,5,monitor,0.001265022137887413,0.11392405063291138,0.001265022137887413,0.0019185010611136115,0.9987349778621126,0.0019185010611135946,0.0
Smoke,B_unweighted,5,alarm,0.001265022137887413,0.11392405063291138,0.0,0.0,1.0,0.0,0.0
Smoke,B_unweighted,10,monitor,0.004554079696394687,0.18987341772151903,0.004554079696394687,0.0038034905448128807,0.9954459203036053,0.003803490544812887,0.0
Smoke,B_unweighted,10,alarm,0.004554079696394687,0.18987341772151903,0.0,0.0,1.0,0.0,0.0
Smoke,B_unweighted,20,monitor,0.3081593927893738,0.37151898734177213,0.3081593927893738,0.3616740990336838,0.6918406072106262,0.3616740990336838,0.0
Smoke,B_unweighted,20,alarm,0.3081593927893738,0.37151898734177213,0.0,0.0,1.0,0.0,0.0
Smoke,B_unweighted,30,monitor,0.7679949399114484,0.5512658227848102,0.7679949399114484,0.26205641201404795,0.23200506008855157,0.26205641201404795,0.0
Smoke,B_unweighted,30,alarm,0.7679949399114484,0.5512658227848102,0.0,0.0,1.0,0.0,0.0
Smoke,D_mlp,0,monitor,0.0,0.0,0.15673624288425045,0.18792771385450693,0.8427577482605946,0.1887922530868345,0.0005060088551549652
Smoke,D_mlp,0,alarm,0.0,0.0,0.15673624288425045,0.18792771385450693,0.8427577482605946,0.1887922530868345,0.0005060088551549652
Smoke,D_mlp,5,monitor,0.22808349146110057,0.09050632911392405,0.2793168880455408,0.3162627703157049,0.7206831119544592,0.3162627703157048,0.0
